full_path,question,answer
/kaggle/input/vrmini2/abo-images-small/images/small/ed/edc4585f.jpg,What material is the housing constructed from?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/17/17762197.jpg,"Considering the image and metadata, what is the primary function of this product?",Protection
/kaggle/input/vrmini2/abo-images-small/images/small/1b/1bc4aa6f.jpg,What material is the case made from?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/72/72ef85a1.jpg,What is the primary function of this Stone & Beam product?,Seating
/kaggle/input/vrmini2/abo-images-small/images/small/bf/bfa8594b.jpg,Is the sea fan print primarily dark or light in color?,Dark
/kaggle/input/vrmini2/abo-images-small/images/small/3e/3e5f55fd.jpg,What style are these shoes?,Loafers
/kaggle/input/vrmini2/abo-images-small/images/small/e2/e267cd66.jpg,What is the case's primary material?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/ad/ad5f8ef3.jpg,What is the product's primary function?,Sample
/kaggle/input/vrmini2/abo-images-small/images/small/36/3655c91b.jpg,What colors are predominantly featured on the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/b3/b31c6783.jpg,"Judging by the image, what is the applicator type for at least one of the eyeshadows?",Wand
/kaggle/input/vrmini2/abo-images-small/images/small/6f/6f8c2df4.jpg,"Given the metadata, for which phone model is this case designed?",LeTV
/kaggle/input/vrmini2/abo-images-small/images/small/fb/fb168e1f.jpg,Is the case 3D printed?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/87/87dc02e4.jpg,"Considering the cooking time, is this meal kit best described as ""quick""?",Yes
/kaggle/input/vrmini2/abo-images-small/images/small/6b/6b6852de.jpg,"Given the image and metadata, what is the case's material?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/07/070f58ad.jpg,"Based on the product image, how many knobs are included in this AmazonBasics package?",Two
/kaggle/input/vrmini2/abo-images-small/images/small/9a/9a6b1bdd.jpg,How many sheets are included in the package?,Fifteen
/kaggle/input/vrmini2/abo-images-small/images/small/7b/7be52936.jpg,Is the case design 3D printed?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/4d/4d4fcef1.jpg,"Considering its dimensions, what is the umbrella's best use?",Patio
/kaggle/input/vrmini2/abo-images-small/images/small/7f/7f031724.jpg,What material is the case made from?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/38/38f8ba50.jpg,"Given the metadata, what is the case's primary material?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/99/991516cc.jpg,What is the dominant color of the product?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/4d/4ddaa64f.jpg,What color are the flowers on the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/bc/bc4251e0.jpg,What is the bed frame's color?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/71/71f2e1b7.jpg,What type of tea is this?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/85/85bb5253.jpg,What is the heel type of this Flavia sandal?,Flats
/kaggle/input/vrmini2/abo-images-small/images/small/2a/2a960da1.jpg,What is the product's primary material?,PVC
/kaggle/input/vrmini2/abo-images-small/images/small/dd/dd44c7d2.jpg,"Based on the image and metadata, what is the design theme of the phone case?",Nature
/kaggle/input/vrmini2/abo-images-small/images/small/57/5780fa4f.jpg,What is the dominant design element on the case?,Flowers
/kaggle/input/vrmini2/abo-images-small/images/small/cd/cd2311c0.jpg,Style?,Walking
/kaggle/input/vrmini2/abo-images-small/images/small/4a/4ae99d91.jpg,What type of cheese is shown?,Havarti
/kaggle/input/vrmini2/abo-images-small/images/small/0c/0c2190ad.jpg,Is the phone case design primarily geometric or abstract?,Geometric
/kaggle/input/vrmini2/abo-images-small/images/small/ed/edc25e4a.jpg,Is this phone case designed for a Vivo phone?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/82/824c7f59.jpg,What color is the Adirondack chair?,White
/kaggle/input/vrmini2/abo-images-small/images/small/f6/f6904288.jpg,Does the case appear to fully cover the phone's edges?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/88/88e85353.jpg,What is the net weight of the black beans shown?,16
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bb8b82f6.jpg,What is the dominant color scheme of the case design?,Gold/Black
/kaggle/input/vrmini2/abo-images-small/images/small/1e/1efeb1a7.jpg,What is the primary color of the headboard?,Charcoal
/kaggle/input/vrmini2/abo-images-small/images/small/64/644cdb3e.jpg,How many sides of the iPad case are shown in the image?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/b5/b5551682.jpg,What is the case's primary material?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/8a/8a882644.jpg,What material is the belt made from?,Polyester
/kaggle/input/vrmini2/abo-images-small/images/small/cc/cc8bff57.jpg,What color are the dominant streaks on the phone case?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/dc/dca5a5ad.jpg,How many pieces of paint protection film are included in this kit?,Twelve
/kaggle/input/vrmini2/abo-images-small/images/small/f8/f87a2a66.jpg,What phone model is this case designed for?,J6Plus
/kaggle/input/vrmini2/abo-images-small/images/small/1f/1f7af600.jpg,What material is the phone case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/75/752ac3de.jpg,Is the phone case design primarily focused on a single image or multiple images?,Single
/kaggle/input/vrmini2/abo-images-small/images/small/06/06f294fb.jpg,What is the primary material of the sandal's upper?,Leather
/kaggle/input/vrmini2/abo-images-small/images/small/31/31a3acdd.jpg,How many towels are shown in the image?,Twelve
/kaggle/input/vrmini2/abo-images-small/images/small/b5/b546f504.jpg,What is the primary ingredient?,Mango
/kaggle/input/vrmini2/abo-images-small/images/small/14/1462f260.jpg,What is the diameter of the hoop earrings?,60mm
/kaggle/input/vrmini2/abo-images-small/images/small/90/908a62b0.jpg,"Based on the item name and image, what design aesthetic best describes the case?",Dark
/kaggle/input/vrmini2/abo-images-small/images/small/e9/e98a8b44.jpg,What color is the phone case?,Purple
/kaggle/input/vrmini2/abo-images-small/images/small/01/01685f02.jpg,What is the apparent material of the toilet paper holder?,Metal
/kaggle/input/vrmini2/abo-images-small/images/small/fe/fe748245.jpg,What fruit is depicted on the phone case?,Watermelon
/kaggle/input/vrmini2/abo-images-small/images/small/88/8882724a.jpg,"Given the metadata, what is the phone model compatibility?",LeTV
/kaggle/input/vrmini2/abo-images-small/images/small/7a/7a75b399.jpg,What type of phone does this case fit?,Samsung
/kaggle/input/vrmini2/abo-images-small/images/small/84/84cf7249.jpg,What is the headboard's primary color?,Gray
/kaggle/input/vrmini2/abo-images-small/images/small/86/86df4bb6.jpg,"Based on the image and metadata, what is the tawa's shape?",Concave
/kaggle/input/vrmini2/abo-images-small/images/small/27/27e111ad.jpg,"Given the image and metadata, what is the primary material of the shoe?",Mesh
/kaggle/input/vrmini2/abo-images-small/images/small/90/90a20fdb.jpg,What is the primary color of the Bourge Canton-3 flip-flops shown?,Red
/kaggle/input/vrmini2/abo-images-small/images/small/92/92da9532.jpg,What is the color of the frying pan?,Silver
/kaggle/input/vrmini2/abo-images-small/images/small/39/39ca550f.jpg,"Considering the image and metadata, what is the primary material of this phone case?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/7d/7d2df401.jpg,Does this recliner have a power lift function?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/6c/6c6bb25b.jpg,What phone model is compatible?,iPhoneX
/kaggle/input/vrmini2/abo-images-small/images/small/6f/6f4e16b6.jpg,What material is the shoe primarily made of?,Leather
/kaggle/input/vrmini2/abo-images-small/images/small/35/3595924e.jpg,What brand is shown in the image?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/34/34bbf40f.jpg,What color is the phone case?,Clear
/kaggle/input/vrmini2/abo-images-small/images/small/ef/ef629d81.jpg,What is the headphone type?,On-ear
/kaggle/input/vrmini2/abo-images-small/images/small/48/4878e5ba.jpg,What is the predominant color of the background on the phone case?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/f9/f96810f3.jpg,Is the phone case design primarily geometric or organic?,Organic
/kaggle/input/vrmini2/abo-images-small/images/small/ac/ac038deb.jpg,"Based on the image and ""Chunky Boat Shoe"" description, what is the sole's apparent thickness?",Thick
/kaggle/input/vrmini2/abo-images-small/images/small/15/152648d9.jpg,What material is the case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/18/18b6412a.jpg,What phone model is this case designed for?,Vivo
/kaggle/input/vrmini2/abo-images-small/images/small/2a/2af9b15c.jpg,What color is the fabric of this Stone & Beam sofa?,Grey
/kaggle/input/vrmini2/abo-images-small/images/small/b5/b59d10c0.jpg,What shape is the candy on the phone case?,Heart
/kaggle/input/vrmini2/abo-images-small/images/small/23/2382b1ff.jpg,What is the style of the rug's pattern?,Geometric
/kaggle/input/vrmini2/abo-images-small/images/small/64/648a599f.jpg,What is the main color pattern on the pillow?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/b3/b3a1bd90.jpg,Does this handbag have a shoulder strap?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/93/93151b2d.jpg,What color are the chairs?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/b6/b66407e0.jpg,What is the primary material of the case?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/8b/8b5173b4.jpg,What is the headphone color?,Green
/kaggle/input/vrmini2/abo-images-small/images/small/3a/3a74e69c.jpg,How many Brie Bites are in the package?,9
/kaggle/input/vrmini2/abo-images-small/images/small/e7/e7336613.jpg,"Considering the image and metadata, what is the phone model compatibility?",ZB601KL
/kaggle/input/vrmini2/abo-images-small/images/small/e5/e50d67ca.jpg,How many legs does the chair have?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/78/784cd2b8.jpg,Is this product gluten-free?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/86/8606b4ef.jpg,What is the main color of the boots?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/2a/2a9ffc35.jpg,What is the dominant color of the design?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/74/74a570f1.jpg,What Apple iPhone model is this case for?,iPhone7
/kaggle/input/vrmini2/abo-images-small/images/small/97/97236ccf.jpg,What color is the air conditioner unit?,White
/kaggle/input/vrmini2/abo-images-small/images/small/39/39897375.jpg,What color are the find. high-top sneakers?,Grey
/kaggle/input/vrmini2/abo-images-small/images/small/8f/8fd2cd71.jpg,"Considering the image and metadata, what is the primary design style of this phone case?",Graffiti
/kaggle/input/vrmini2/abo-images-small/images/small/8d/8de8122e.jpg,What animal is depicted on the phone case?,Panda
/kaggle/input/vrmini2/abo-images-small/images/small/da/dae4a194.jpg,What is the primary design element depicted on the case?,Teapots
/kaggle/input/vrmini2/abo-images-small/images/small/3e/3e64bc58.jpg,How many capsules are in the box?,24
/kaggle/input/vrmini2/abo-images-small/images/small/14/140cea80.jpg,How many straps does this sandal have?,Zero
/kaggle/input/vrmini2/abo-images-small/images/small/b0/b070dcec.jpg,What is the color of the plastic cutlery?,Clear
/kaggle/input/vrmini2/abo-images-small/images/small/80/807596e0.jpg,How many visible rings or lines are present on the cup's body?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/ed/edc4585f.jpg,What is the primary mounting method?,Suspension
/kaggle/input/vrmini2/abo-images-small/images/small/d3/d3e04e51.jpg,Does the case include a built-in screen protector?,No
/kaggle/input/vrmini2/abo-images-small/images/small/a4/a400b015.jpg,What material is primarily used in constructing this women's handbag?,Leather
/kaggle/input/vrmini2/abo-images-small/images/small/59/591d984a.jpg,What is the primary material of the phone case?,Sequins
/kaggle/input/vrmini2/abo-images-small/images/small/07/07004d56.jpg,"Considering the image and metadata, what is the primary material of this phone case?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/9d/9d4de8a9.jpg,Is this snack pack from an Amazon brand?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/c6/c6c2e46b.jpg,What color is the frying pan?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/cb/cb051f98.jpg,Does this shoe have a chunky sole?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/38/38464c3f.jpg,How many towels are included in the set?,Ten
/kaggle/input/vrmini2/abo-images-small/images/small/5c/5c9a2d8f.jpg,What is the lamp's brand?,Rivet
/kaggle/input/vrmini2/abo-images-small/images/small/a3/a39e2747.jpg,What is the backpack's primary color?,Orange
/kaggle/input/vrmini2/abo-images-small/images/small/bf/bf6484fa.jpg,What material is the case?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/0c/0cf3019d.jpg,"Based on the metadata's node information, what is the product category?",Pillowcases
/kaggle/input/vrmini2/abo-images-small/images/small/e9/e9e37713.jpg,What animal is depicted on the phone case?,Tiger
/kaggle/input/vrmini2/abo-images-small/images/small/33/330a6b27.jpg,What color is the background of the phone case?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/cd/cdc9e9e2.jpg,"Considering the metadata, where would this chair most likely be used?",Outdoors
/kaggle/input/vrmini2/abo-images-small/images/small/5b/5b36d8bf.jpg,What is the product type?,Oatmeal
/kaggle/input/vrmini2/abo-images-small/images/small/9f/9f675494.jpg,Is the case hard or soft?,Hard
/kaggle/input/vrmini2/abo-images-small/images/small/48/48b554ac.jpg,What is the primary stitch pattern on the beanie?,Rib
/kaggle/input/vrmini2/abo-images-small/images/small/e9/e92ce011.jpg,What phone model does this case fit?,A9
/kaggle/input/vrmini2/abo-images-small/images/small/ca/ca9a2e88.jpg,What material is the case made of?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/7a/7af8b666.jpg,What color is the background of the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/c4/c410af70.jpg,"Given the metadata, what material is this phone case made from?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/90/90424798.jpg,What material is the sheet made of?,Jersey
/kaggle/input/vrmini2/abo-images-small/images/small/dd/dd37b6b5.jpg,What is the approximate weight of the cranberries shown in the image?,1kg
/kaggle/input/vrmini2/abo-images-small/images/small/6d/6d96c84d.jpg,What type of shoe is depicted in the image?,Loafers
/kaggle/input/vrmini2/abo-images-small/images/small/48/48ddde95.jpg,How many people are depicted on the phone case?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/26/26a3cc27.jpg,What color is the prominent number on the diaper package?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/92/9284408f.jpg,How many diamonds are on the ring?,Four
/kaggle/input/vrmini2/abo-images-small/images/small/35/3595924e.jpg,What size bed is this headboard for?,King
/kaggle/input/vrmini2/abo-images-small/images/small/23/23d05087.jpg,What is the primary material of the handle?,Metal
/kaggle/input/vrmini2/abo-images-small/images/small/83/83d02aa8.jpg,What is the primary flavor profile of the Happy Belly dried thyme?,Earthy
/kaggle/input/vrmini2/abo-images-small/images/small/4e/4e1f5c08.jpg,"Given the image and metadata, what is the approximate EU size shown?",40
/kaggle/input/vrmini2/abo-images-small/images/small/6c/6c5a4a2a.jpg,Capacity?,200
/kaggle/input/vrmini2/abo-images-small/images/small/37/378309b4.jpg,"Based on the image and provided dimensions, what is the approximate shape of the packaging?",Rectangular
/kaggle/input/vrmini2/abo-images-small/images/small/a7/a727ab44.jpg,How many rows of brogue detailing are visible on the shoe?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/1a/1a17ffff.jpg,What phone model is this case designed for?,Gionee A1 Lite
/kaggle/input/vrmini2/abo-images-small/images/small/47/47557759.jpg,What letter is prominently displayed on the phone case?,Z
/kaggle/input/vrmini2/abo-images-small/images/small/f7/f7207dd7.jpg,Are these shoes designed for casual or formal wear?,Formal
/kaggle/input/vrmini2/abo-images-small/images/small/6c/6c61ac13.jpg,What type of metal is the ring band made of?,Silver
/kaggle/input/vrmini2/abo-images-small/images/small/64/647e2d04.jpg,Are the tortillas frozen?,No
/kaggle/input/vrmini2/abo-images-small/images/small/55/55d33cc7.jpg,Is this case designed for a Motorola phone?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/00/00350f57.jpg,What color is the AmazonBasics travel backpack?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bb1405a8.jpg,"Based on the image and product description, are these screen protectors designed for curved screens?",No
/kaggle/input/vrmini2/abo-images-small/images/small/35/3595924e.jpg,What is the brand name shown in the image?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/a3/a3229d62.jpg,What is the primary material of the grill mats?,Teflon
/kaggle/input/vrmini2/abo-images-small/images/small/d3/d3b88586.jpg,What is the primary color of the phone case?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/59/598922da.jpg,What color is the majority of the balance board?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/4e/4e61b237.jpg,What is the cut of the gemstone?,Cushion
/kaggle/input/vrmini2/abo-images-small/images/small/ae/aef81e08.jpg,What is the primary ingredient depicted?,Chana
/kaggle/input/vrmini2/abo-images-small/images/small/f9/f963d345.jpg,What is the table's shape?,Square
/kaggle/input/vrmini2/abo-images-small/images/small/8e/8ed8b4bc.jpg,What is the dietary designation of this soup?,Vegan
/kaggle/input/vrmini2/abo-images-small/images/small/ba/ba9d2fdd.jpg,What color is the phone case?,Gold
/kaggle/input/vrmini2/abo-images-small/images/small/4f/4f7a7d70.jpg,Which city is prominently featured in the case design?,Paris
/kaggle/input/vrmini2/abo-images-small/images/small/75/75ecd644.jpg,How many mop heads are in a pack?,Six
/kaggle/input/vrmini2/abo-images-small/images/small/8e/8ec6f9d8.jpg,What color is the background of the phone case?,Yellow
/kaggle/input/vrmini2/abo-images-small/images/small/76/76ce0cd8.jpg,What is the shape of the cookies?,Animals
/kaggle/input/vrmini2/abo-images-small/images/small/ad/adb4f9fa.jpg,Is the chair's back rounded or straight?,Rounded
/kaggle/input/vrmini2/abo-images-small/images/small/9d/9de85b43.jpg,What phone model does this case fit?,iPhone
/kaggle/input/vrmini2/abo-images-small/images/small/6d/6d6e98c1.jpg,Is the phone case primarily designed for an Asus phone?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/9e/9e27c66c.jpg,What color are the men's 206 Collective Prospect lace-up sneakers?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/67/67a27967.jpg,What animal is depicted on the phone case?,Cat
/kaggle/input/vrmini2/abo-images-small/images/small/bb/bb6ef4fe.jpg,"Considering the image and ""Super Girl"" in the item name, what is the target demographic?",Female
/kaggle/input/vrmini2/abo-images-small/images/small/80/80d26f25.jpg,What material is the case made from?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/60/60b710b5.jpg,What is the primary material of the case?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/69/6945b131.jpg,How many handles does the hamper have?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/55/5529b190.jpg,What colors are predominantly featured in the phone case design?,Multicolored
/kaggle/input/vrmini2/abo-images-small/images/small/be/beac301c.jpg,Roast level?,Medium
/kaggle/input/vrmini2/abo-images-small/images/small/ab/ab5de901.jpg,How many handles are included in one pack?,Fifty
/kaggle/input/vrmini2/abo-images-small/images/small/be/bee43ec4.jpg,What is the primary ingredient?,VitaminC
/kaggle/input/vrmini2/abo-images-small/images/small/ef/ef022233.jpg,What is the dominant color of the case?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/50/50dcf482.jpg,What phone model does this case fit?,Grand2
/kaggle/input/vrmini2/abo-images-small/images/small/0b/0b8dcc34.jpg,"Based on the image and description, what is the chair's intended use?",Gaming
/kaggle/input/vrmini2/abo-images-small/images/small/03/03833e09.jpg,Material?,Leather
/kaggle/input/vrmini2/abo-images-small/images/small/5b/5b592a53.jpg,What is the product's primary function?,Curtains
/kaggle/input/vrmini2/abo-images-small/images/small/fe/fe117a45.jpg,"Given the image and metadata, what phone model is compatible?",LG G3
/kaggle/input/vrmini2/abo-images-small/images/small/e5/e56743b0.jpg,What is the primary function of this Amazon Brand - Solimo product?,Cabinet
/kaggle/input/vrmini2/abo-images-small/images/small/94/94b5877e.jpg,What material is the case made of?,Silicon
/kaggle/input/vrmini2/abo-images-small/images/small/49/49f46ca9.jpg,What phone model is this case designed for?,MotoG5Plus
/kaggle/input/vrmini2/abo-images-small/images/small/76/76302ac7.jpg,What is the dominant color of the product shown?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/46/46f50147.jpg,What is the brand of this dumbbell?,AmazonBasics
/kaggle/input/vrmini2/abo-images-small/images/small/80/807596e0.jpg,Is the cup made of glass or plastic?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/ca/ca89e4e3.jpg,What type of material is used for this phone case?,Hard
/kaggle/input/vrmini2/abo-images-small/images/small/0a/0ab86f88.jpg,What phone model is this case designed for?,VivoY91i
/kaggle/input/vrmini2/abo-images-small/images/small/db/db3fa2c5.jpg,What color is the smiling cup on the phone case?,White
/kaggle/input/vrmini2/abo-images-small/images/small/80/80fe1481.jpg,What material is the case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/4d/4d4fcef1.jpg,What is the umbrella's primary color?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/0a/0a735dc9.jpg,What phone model is this case designed for?,Huawei
/kaggle/input/vrmini2/abo-images-small/images/small/9b/9b4d2d7d.jpg,What is the cable's primary function?,Charging
/kaggle/input/vrmini2/abo-images-small/images/small/a1/a1364e87.jpg,What type of phone is this case for?,iPhone
/kaggle/input/vrmini2/abo-images-small/images/small/f4/f4e1cebf.jpg,What color are the gloves shown on the box?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/80/80254664.jpg,What color is the Amazon Basics digital timer?,White
/kaggle/input/vrmini2/abo-images-small/images/small/be/be5bcf43.jpg,What is the primary function of this Movian Loue item?,Nightstand
/kaggle/input/vrmini2/abo-images-small/images/small/ea/ea7a5dae.jpg,"Considering the metadata, what is the case's manufacturing method?",3D-printed
/kaggle/input/vrmini2/abo-images-small/images/small/60/6052bb76.jpg,What is the shoe's style?,Brogue
/kaggle/input/vrmini2/abo-images-small/images/small/24/24535260.jpg,What is the primary metal used in this bracelet?,Silver
/kaggle/input/vrmini2/abo-images-small/images/small/cb/cb84b530.jpg,How many roses are depicted on the phone case?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/f6/f6400eb9.jpg,What is the hat's primary function?,Shade
/kaggle/input/vrmini2/abo-images-small/images/small/2f/2f32d53d.jpg,"Considering the image and ""Linen"" color description, what is the fabric's texture?",Coarse
/kaggle/input/vrmini2/abo-images-small/images/small/79/79d37b67.jpg,What is the brand of this mask box?,Presto!
/kaggle/input/vrmini2/abo-images-small/images/small/b0/b070dcec.jpg,How many pieces of cutlery are shown in the image?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/fb/fbe8682d.jpg,What material is this phone case made of?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/45/45bfee63.jpg,"Considering the metadata, what is the maximum length of the rod (inches)?",77
/kaggle/input/vrmini2/abo-images-small/images/small/f1/f12d615a.jpg,What is the dominant color of the ring?,RoseGold
/kaggle/input/vrmini2/abo-images-small/images/small/2d/2d99926c.jpg,What year is depicted in the patent drawing?,1885
/kaggle/input/vrmini2/abo-images-small/images/small/08/08560a49.jpg,Is this broth organic?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/75/75884ceb.jpg,How many buckles are visible on the shoe?,One
/kaggle/input/vrmini2/abo-images-small/images/small/d5/d59f7fa7.jpg,"Based on the image and ""Padre Wicker Dining Collection"" name, what is the setting for this furniture?",Patio
/kaggle/input/vrmini2/abo-images-small/images/small/ad/ad2fd049.jpg,What material is the chair's frame predominantly made of?,Metal
/kaggle/input/vrmini2/abo-images-small/images/small/39/39e34e19.jpg,What color are the loafers shown in the image?,Beige
/kaggle/input/vrmini2/abo-images-small/images/small/cc/cc690ab2.jpg,Is this phone case designed for an iPhone 6 or an iPhone 7?,6
/kaggle/input/vrmini2/abo-images-small/images/small/ed/ed7cc70b.jpg,What is the brand of these shoes?,Jenny
/kaggle/input/vrmini2/abo-images-small/images/small/0b/0b665d3a.jpg,"Based on the image and metadata, what is the shoe's closure type?",Slip-on
/kaggle/input/vrmini2/abo-images-small/images/small/1f/1f81a6c1.jpg,What material is the desk top made of?,Wood
/kaggle/input/vrmini2/abo-images-small/images/small/0c/0cd4828b.jpg,Is the lampshade a dark or light color?,Light
/kaggle/input/vrmini2/abo-images-small/images/small/7d/7d16047b.jpg,What color is the background of the phone case design?,Pink
/kaggle/input/vrmini2/abo-images-small/images/small/4f/4f7a7d70.jpg,What is the primary material of this phone case?,Silicone
/kaggle/input/vrmini2/abo-images-small/images/small/59/59e40369.jpg,What color are these sneakers?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/88/8812164d.jpg,"Given the metadata, for which phone model is this case designed?",iPhone8Plus
/kaggle/input/vrmini2/abo-images-small/images/small/ef/ef27de3d.jpg,What is the style of the find. shoe?,Sandals
/kaggle/input/vrmini2/abo-images-small/images/small/30/301137a1.jpg,What phone model is compatible?,Nokia
/kaggle/input/vrmini2/abo-images-small/images/small/41/416fb059.jpg,How many cutouts are visible on the phone case for buttons and ports?,Three
/kaggle/input/vrmini2/abo-images-small/images/small/f2/f2249e2a.jpg,"Based on the metadata, what material is the phone case made of?",Hard
/kaggle/input/vrmini2/abo-images-small/images/small/df/dfd2d00e.jpg,What color are the small stones on the earrings?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/4d/4dfe3841.jpg,"Are these towels likely suitable for quick drying, based on the product name?",Yes
/kaggle/input/vrmini2/abo-images-small/images/small/ec/ec1b3191.jpg,What is the toe shape of the boot shown?,Pointed
/kaggle/input/vrmini2/abo-images-small/images/small/03/0341c61c.jpg,What is the phone case's primary material?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/84/84cf7249.jpg,What is the style of the headboard?,Transitional
/kaggle/input/vrmini2/abo-images-small/images/small/ed/ed3c0705.jpg,What color is the laundry hamper?,Beige
/kaggle/input/vrmini2/abo-images-small/images/small/2a/2ae11363.jpg,What is the primary color of the phone case?,Red
/kaggle/input/vrmini2/abo-images-small/images/small/1e/1e110b8d.jpg,"Considering the packaging and metadata, what is the product's weight?",2kg
/kaggle/input/vrmini2/abo-images-small/images/small/8f/8fd2cd71.jpg,"Based on the image and ""hard back case"" description, what is the case material?",Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/c9/c984e889.jpg,What is the case material implied by the image?,TPU
/kaggle/input/vrmini2/abo-images-small/images/small/a2/a2cb0e87.jpg,What is the dominant color of the phone case?,Blue
/kaggle/input/vrmini2/abo-images-small/images/small/de/dee1def1.jpg,What phone model is compatible?,A3(2016)
/kaggle/input/vrmini2/abo-images-small/images/small/a1/a1364e87.jpg,What is the main design element on the case?,Drink
/kaggle/input/vrmini2/abo-images-small/images/small/ba/ba211a88.jpg,How many players are there on each foosball team?,6
/kaggle/input/vrmini2/abo-images-small/images/small/eb/eb2f946f.jpg,What color is the background of the phone case?,Black
/kaggle/input/vrmini2/abo-images-small/images/small/0f/0f6dd8df.jpg,Is the phone case design primarily a picture of a bird?,Yes
/kaggle/input/vrmini2/abo-images-small/images/small/5f/5f03beee.jpg,What colors are predominantly featured on the phone case?,Multicolored
/kaggle/input/vrmini2/abo-images-small/images/small/8c/8c42bfa6.jpg,How many deodorant cans are in the pack?,Two
/kaggle/input/vrmini2/abo-images-small/images/small/0d/0d07b1d4.jpg,What phone model is this case designed for?,A2010
/kaggle/input/vrmini2/abo-images-small/images/small/27/27401174.jpg,What landmark is depicted on the phone case?,Eiffel
/kaggle/input/vrmini2/abo-images-small/images/small/4b/4b550411.jpg,"Given the metadata and image, what size dog is this harness best suited for?",Small
/kaggle/input/vrmini2/abo-images-small/images/small/df/dfa905dc.jpg,What is the case's primary material?,Polycarbonate
/kaggle/input/vrmini2/abo-images-small/images/small/a3/a360a5e5.jpg,Is the case material explicitly mentioned?,Plastic
/kaggle/input/vrmini2/abo-images-small/images/small/a5/a5671995.jpg,What is the primary color of the phone case?,Orange
